SIFID,d15N,d13C,WtN,WtC,CN,Comments,fishID,SampType,Stream,SampYR,SampDate,SiteID,SpecCode,TL_mm,Wt_g,Sex,Source,d13C.norm,trophic
2016_F005,12.7278399,-27.298949,14.08216788,49.21742466,3.495017605,NA,2016-LR08-RDH-23,M1,Laramie,2016,9/2/16,LR08,RDH,125,24.5,UNK,Maitland,-27.298949,NA
2016_F007,12.4746628,-27.733894,14.30713875,48.2666262,3.373604397,NA,2016-LR08-RDH-24,M1,Laramie,2016,9/2/16,LR08,RDH,186,76.4,UNK,Maitland,-27.733894,NA
2016_F011,12.3065452,-27.398076,14.25636755,48.1721963,3.378995115,NA,2016-LR08-RDH-25,M1,Laramie,2016,9/2/16,LR08,RDH,282,272.55,UNK,Maitland,-27.398076,NA
2016_F015,12.4266292,-27.750078,13.9200639,49.00423424,3.520402966,NA,2016-LR08-RDH-26,M1,Laramie,2016,9/2/16,LR08,RDH,122,23.8,UNK,Maitland,-27.58487906,NA
2016_F017,12.4186236,-27.53564,14.49266368,48.02152239,3.313505609,NA,2016-LR08-RDH-27,M1,Laramie,2016,9/2/16,LR08,RDH,241,173.51,UNK,Maitland,-27.53564,NA
2016_F019,11.5530181,-27.618583,12.50022185,44.31514729,3.545148863,NA,2016-LR08-RDH-28,BODY,Laramie,2016,9/2/16,LR08,RDH,71,3.36,UNK,Maitland,-27.42888563,NA
2016_F020,11.7031231,-28.278081,11.85827226,41.55059531,3.503933321,NA,2016-LR08-RDH-29,BODY,Laramie,2016,9/2/16,LR08,RDH,65,2.95,UNK,Maitland,-28.12918701,NA
2016_F021,12.2585116,-27.8947225,11.720191,45.01822408,3.841082801,NA,2016-LR08-RDH-30,BODY,Laramie,2016,9/2/16,LR08,RDH,79,5.57,UNK,Maitland,-27.41205053,NA
2016_F022,10.6223671,-27.675227,12.12333971,42.9763122,3.54492353,NA,2016-LR08-RDH-31,BODY,Laramie,2016,9/2/16,LR08,RDH,70,2.72,UNK,Maitland,-27.48575271,NA
2016_F023,12.1614437,-27.5447435,14.37094051,48.22340106,3.355619003,NA,2016-LR08-WHS-07,M1,Laramie,2016,9/2/16,LR08,WHS,225,144.48,UNK,Maitland,-27.5447435,NA
