SiteID,SpecCode,IndividID,d15N,d13C,WtN,WtC,CN,SampType,SampDate,SampYR,fishID,TL_mm,trophic,SpecimenID,Comments
Greenbelt,BNT,440,13.3,-25,14.8,48.6,3.3,M1,8/1/13,2013,0813GBBNT13,270,Fish,440,
Greenbelt,BNT,441,14.1,-25.3,15.2,49.9,3.3,M1,8/1/13,2013,0813GBBNT05,340,Fish,441,
Greenbelt,BNT,442,13.5,-25.3,15.5,47.8,3.1,M1,8/1/13,2013,0813GBBNT10,340,Fish,442,
Greenbelt,BNT,443,14.3,-25.2,15.1,49.1,3.2,M1,8/1/13,2013,0813GBBNT07,345,Fish,443,
Greenbelt,BNT,445,12.7,-26.1,15.1,51.2,3.4,M1,8/1/13,2013,0813GBBNT19,254,Fish,445,
Greenbelt,BNT,446,12.9,-25.1,15.6,48.6,3.1,M1,8/1/13,2013,0813GBBNT02,390,Fish,446,
Greenbelt,BNT,447,11.9,-26,15.9,49.5,3.1,M1,8/1/13,2013,0813GBBNT04,433,Fish,447,
Greenbelt,BNT,448,12.1,-25.3,15.1,49.9,3.3,M1,8/1/13,2013,0813GBBNT27,235,Fish,448,
Greenbelt,BNT,449,12.7,-25.6,14.7,48.9,3.3,M1,8/1/13,2013,0813GBBNT20,240,Fish,449,
Greenbelt,BNT,450,12.4,-25.7,14.9,49.6,3.3,M1,8/1/13,2013,0813GBBNT22,225,Fish,450,
Greenbelt,BNT,451,13.3,-25.5,14.2,44.9,3.2,M1,8/1/13,2013,0813GBBNT14,280,Fish,451,Replcate samples.
Greenbelt,BNT,451,13.3,-25.9,15,48.8,3.3,M1,8/1/13,2013,0813GBBNT14,280,Fish,451,Replcate samples.
Greenbelt,BNT,452,14,-25.7,13.8,45.2,3.3,M1,8/1/13,2013,0813GBBNT09,279,Fish,452,Replcate samples.
Greenbelt,BNT,452,14.1,-25.5,14.8,48.4,3.3,M1,8/1/13,2013,0813GBBNT09,279,Fish,452,Replcate samples.
Greenbelt,BNT,453,12.7,-25.3,14.3,47,3.3,M1,8/1/13,2013,0813GBBNT41,283,Fish,453,
Greenbelt,BNT,454,12.3,-25.5,15.5,48.7,3.1,M1,8/1/13,2013,0813GBBNT36,269,Fish,454,
Greenbelt,BNT,455,12.4,-25.8,15.4,48.3,3.1,M1,8/1/13,2013,0813GBBNT38,310,Fish,455,
Greenbelt,BNT,456,13.9,-25.2,15.1,48.2,3.2,M1,8/1/13,2013,0813GBBNT08,298,Fish,456,
Greenbelt,BNT,457,12.9,-25.3,13.7,46.6,3.4,M1,8/1/13,2013,0813GBBNT23,235,Fish,457,
Greenbelt,CKC,472,8.7,-27.3,14.6,48.6,3.3,M1,8/1/13,2013,0813mmCKC08,,Fish,472,Replicate samples.
Greenbelt,CKC,472,8.7,-27.4,13.6,45.1,3.3,M1,8/1/13,2013,0813mmCKC08,,Fish,472,Replicate samples.
Greenbelt,CKC,473,8.7,-27.5,14.5,47,3.2,M1,8/1/13,2013,0813mmCKC06,,Fish,473,
Greenbelt,CKC,474,9.4,-27,14.5,48.7,3.4,M1,8/1/13,2013,0813mmCKC04,,Fish,474,Replicate samples.
Greenbelt,CKC,474,9.5,-26.9,14.5,48.7,3.4,M1,8/1/13,2013,0813mmCKC04,,Fish,474,Replicate samples.
Greenbelt,CKC,475,9.1,-27.2,14.3,46.8,3.3,M1,8/1/13,2013,0813mmCKC05,,Fish,475,
Greenbelt,CKC,476,8.4,-27.3,14.8,47,3.2,M1,8/1/13,2013,0813mmCKC14,,Fish,476,
Greenbelt,CKC,477,8.5,-27.1,14.3,48.1,3.4,M1,8/1/13,2013,0813mmCKC07,,Fish,477,
Greenbelt,CKC,478,9,-26.9,15,48.5,3.2,M1,8/1/13,2013,0813mmCKC09,,Fish,478,
Greenbelt,CKC,479,8.7,-26.7,14.6,47.8,3.3,M1,8/1/13,2013,0813mmCKC10,,Fish,479,
Greenbelt,CKC,480,8.8,-27,14.6,48.3,3.3,M1,8/1/13,2013,0813mmCKC11,,Fish,480,
Greenbelt,CKC,481,8.7,-28,14,46.5,3.3,M1,8/1/13,2013,0813mmCKC12,,Fish,481,
Greenbelt,CKC,482,8.6,-28,13.1,43,3.3,M1,8/1/13,2013,0813mmCKC13,,Fish,482,
Greenbelt,CKC,483,9.1,-26.8,14.7,48.8,3.3,M1,8/1/13,2013,0813mmCKC18,,Fish,483,
Greenbelt,CKC,484,9.7,-27,14.8,49.4,3.3,M1,8/1/13,2013,0813mmCKC22,,Fish,484,
Greenbelt,CKC,485,8.7,-27.3,14.5,48,3.3,M1,8/1/13,2013,0813mmCKC21,,Fish,485,
Greenbelt,CKC,486,8.9,-27.6,14.2,46.8,3.3,M1,8/1/13,2013,0813mmCKC16,,Fish,486,
Greenbelt,CKC,487,8.3,-27.1,15,49,3.3,M1,8/1/13,2013,0813mmCKC15,,Fish,487,
Greenbelt,CKC,488,8.7,-26.7,14.9,49.3,3.3,M1,8/1/13,2013,0813mmCKC17,,Fish,488,
Greenbelt,CKC,489,9.1,-27.5,12.4,41.3,3.3,M1,8/1/13,2013,0813mmCKC19,,Fish,489,
Greenbelt,CKC,490,9.1,-27.6,13.5,45.4,3.4,M1,8/1/13,2013,0813mmCKC24,,Fish,490,
Greenbelt,CKC,491,9.4,-27.6,15.6,52.6,3.4,M1,8/1/13,2013,0813mmCKC23,,Fish,491,
Greenbelt,CKC,492,9.1,-27.2,14.8,48.9,3.3,M1,8/1/13,2013,0813mmCKC20,,Fish,492,
Greenbelt,CKC,493,9.1,-27.4,13.8,46.5,3.4,M1,8/1/13,2013,0813mmCKC25,,Fish,493,
Private Ranch,CKC,494,11.2,-26.7,14.5,48.5,3.3,M1,8/1/13,2013,0813gbCKC20,,Fish,494,
Private Ranch,CKC,495,11.2,-26.7,13.5,45.4,3.4,M1,8/1/13,2013,0813gbCKC18,,Fish,495,
Private Ranch,CKC,496,12,-26,14.8,49.1,3.3,M1,8/1/13,2013,0813gbCKC15,,Fish,496,
Private Ranch,CKC,497,11.6,-25.8,14.8,48.5,3.3,M1,8/1/13,2013,0813gbCKC04,,Fish,497,
Private Ranch,CKC,498,11.4,-26.1,14.7,48.6,3.3,M1,8/1/13,2013,0813gbCKC10,,Fish,498,
Private Ranch,CKC,499,12.4,-26.7,15.2,50.6,3.3,M1,8/1/13,2013,0813gbCKC09,,Fish,499,
Private Ranch,CKC,500,11.7,-26.7,14.4,48.9,3.4,M1,8/1/13,2013,0813gbCKC11,,Fish,500,
Private Ranch,CKC,501,12.4,-26,14.4,48.3,3.4,M1,8/1/13,2013,0813gbCKC05,,Fish,501,Replicate samples.
Private Ranch,CKC,501,12.4,-25.9,14.5,48.6,3.4,M1,8/1/13,2013,0813gbCKC05,,Fish,501,Replicate samples.
Private Ranch,CKC,502,10.8,-27,14.9,49.3,3.3,M1,8/1/13,2013,0813gbCKC17,,Fish,502,
Private Ranch,CKC,503,11.2,-26.1,14.3,47.5,3.3,M1,8/1/13,2013,0813gbCKC16,,Fish,503,
Private Ranch,CKC,504,11.5,-26.7,14.7,49.2,3.4,M1,8/1/13,2013,0813gbCKC13,,Fish,504,
Private Ranch,CKC,505,11.8,-25.6,14.5,48.8,3.4,M1,8/1/13,2013,0813gbCKC21,,Fish,505,
Private Ranch,CKC,506,11.9,-25.6,14.2,47.9,3.4,M1,8/1/13,2013,0813gbCKC12,,Fish,506,
